age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,y (yes or no)  ,probability of yes (or score)
45, Private,239058, Bachelors,13, Divorced, Adm-clerical, Unmarried, White, Female,0,0,45, United-States,no,0.4
48, Local-gov,125892, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,no,0.3
39, Private,319052, Bachelors,13, Married-civ-spouse, Handlers-cleaners, Wife, Asian-Pac-Islander, Female,0,0,37, Philippines,yes,0.51
26, Private,124111, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States,no,0.2
49, Private,116927, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States,no,0.38
22, Private,124810, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,20, United-States,no,0.02
27, Private,226441, Bachelors,13, Never-married, Prof-specialty, Other-relative, White, Female,0,0,40, United-States,no,0.21
22, Self-emp-inc,171041, Bachelors,13, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States,no,0.11
28, Private,216604, Some-college,10, Never-married, Other-service, Not-in-family, Black, Male,0,0,14, United-States,no,0.15
53, Federal-gov,411700, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,7298,0,40, United-States,no,0.34
65, Federal-gov,44807, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,48, United-States,no,0.14
39, State-gov,252662, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Male,0,2824,50, United-States,no,0.36
40, Private,77391, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,no,0.15
19, Private,310483, 12th,8, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States,no,0.21
70, Private,573446, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,1455,0,40, United-States,no,0.22
23, Private,158940, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,55, United-States,no,0.25
29, Private,312985, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2129,50, United-States,no,0.33
44, Local-gov,159449, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,80, United-States,no,0.18
